Activity ID,Keywords
1,"['builder', 'cards', 'children', 'curve', 'frequency', 'guided', 'inventory', 'mm', 'random', 'resource', 'ride', 'sheet', 'state', 'straight', 'team', 'word']"
2,"['cards', 'children', 'curve', 'frequency', 'guided', 'inventory', 'mate', 'music', 'random', 'resource', 'sheet', 'word']"
3,"['builder', 'cards', 'children', 'curve', 'frequency', 'guided', 'inventory', 'motor', 'random', 'resource', 'sheet', 'word']"
4,"['cards', 'children', 'color', 'cut', 'frequency', 'guided', 'inventory', 'mate', 'notch', 'random', 'resource', 'sheet', 'word']"
5,"['builder', 'cards', 'children', 'curve', 'frequency', 'guided', 'inventory', 'random', 'resource', 'school', 'sheet', 'straight', 'word']"
6,"['arms', 'builder', 'cards', 'children', 'curve', 'cut', 'frequency', 'guided', 'inventory', 'random', 'resource', 'sheet', 'strip', 'word']"
7,"['builder', 'cards', 'children', 'curve', 'frequency', 'guided', 'house', 'inventory', 'music', 'random', 'resource', 'sheet', 'word']"
8,"['arc', 'builder', 'cards', 'children', 'frame', 'group', 'inventory', 'power', 'repeat', 'resource', 'sentence', 'sheet', 'stories', 'straight', 'word']"
9,"['builder', 'cards', 'children', 'feedback', 'frequency', 'guided', 'random', 'repeat', 'resource', 'sentence', 'sprung', 'stories', 'straight', 'word']"
10,"['builder', 'cards', 'children', 'feedback', 'frequency', 'guided', 'inventory', 'random', 'repeat', 'resource', 'stories', 'word']"
11,"['builder', 'cards', 'children', 'curve', 'feedback', 'frequency', 'game', 'guided', 'inventory', 'prostate', 'random', 'repeat', 'resource', 'sentence', 'stories', 'straight', 'word']"
12,"['builder', 'cards', 'children', 'curve', 'feedback', 'frequency', 'gray', 'guided', 'mate', 'push', 'random', 'repeat', 'resource', 'sentence', 'stories', 'straight', 'word']"
13,"['builder', 'cards', 'children', 'desk', 'feedback', 'frequency', 'guided', 'random', 'repeat', 'resource', 'sentence', 'stories', 'straight', 'word']"
14,"['builder', 'cards', 'children', 'feedback', 'frequency', 'guided', 'inventory', 'random', 'repeat', 'resource', 'sentence', 'stories', 'word']"
15,"['builder', 'cards', 'children', 'curve', 'feedback', 'frequency', 'guided', 'heart', 'house', 'inventory', 'mate', 'random', 'repeat', 'resource', 'rough', 'sentence', 'stories', 'straight', 'word']"
16,"['builder', 'capital', 'cards', 'children', 'feedback', 'finger', 'frequency', 'guided', 'house', 'inventory', 'random', 'repeat', 'resource', 'sentence', 'stories', 'word']"
17,"['builder', 'cards', 'children', 'curve', 'edge', 'feedback', 'frequency', 'random', 'repeat', 'resource', 'sentence', 'stories', 'straight', 'word']"
18,"['builder', 'cards', 'children', 'curve', 'feedback', 'frequency', 'guided', 'inventory', 'random', 'repeat', 'resource', 'sentence', 'straight', 'tract', 'word']"
19,"['builder', 'cards', 'children', 'curve', 'feedback', 'frequency', 'guided', 'inventory', 'mate', 'powder', 'random', 'repeat', 'resource', 'stories', 'straight', 'word', 'zebra']"
20,"['builder', 'cards', 'children', 'curve', 'feedback', 'frequency', 'guided', 'inventory', 'random', 'repeat', 'resource', 'sentence', 'stories', 'straight', 'word']"
21,"['group', 'management', 'resource', 'word']"
21,"['group', 'management', 'resource', 'word']"
22,"['group', 'management', 'resource', 'word']"
23,"['labels', 'resource', 'word']"
24,"['labels', 'resource', 'word']"
24,"['labels', 'resource', 'word']"
26,"['children', 'media', 'random', 'repeat', 'ride', 'word']"
28,"['builder', 'cards', 'children', 'error', 'graph', 'learning', 'repeat', 'word']"
29,"['builder', 'cards', 'children', 'error', 'graph', 'learning', 'repeat', 'word']"
30,"['cards', 'children', 'group', 'professional', 'word']"
31,"['cards', 'children', 'group', 'professional', 'word']"
32,"['cards', 'children', 'group', 'professional', 'word']"
33,"['cards', 'children', 'group', 'professional', 'word']"
34,"['cards', 'children', 'group', 'professional', 'word']"
35,"['arc', 'children', 'frequency', 'group', 'house', 'job', 'repeat', 'sentence', 'word']"
36,"['@', 'children', 'frame', 'frequency', 'house', 'knowledge', 'nest', 'notch', 'repeat', 'ride', 'sentence', 'word']"
38,"['@', 'children', 'frame', 'frequency', 'house', 'knowledge', 'nest', 'notch', 'repeat', 'ride', 'sentence', 'word']"
39,"['@', 'children', 'frame', 'frequency', 'house', 'knowledge', 'nest', 'notch', 'repeat', 'ride', 'sentence', 'word']"
40,"['children', 'sentence', 'trees', 'word']"
41,"['banks', 'cards', 'children', 'feedback', 'frame', 'modeling', 'professional', 'sentence', 'speech', 'word']"
42,"['banks', 'cards', 'children', 'feedback', 'frame', 'modeling', 'professional', 'sentence', 'speech', 'word']"
42,"['banks', 'cards', 'children', 'feedback', 'frame', 'modeling', 'professional', 'sentence', 'speech', 'word']"
43,"['children', 'knowledge', 'stories', 'tree', 'word']"
44,"['children', 'desk', 'distance', 'guided', 'music', 'rules', 'selection', 'sentence', 'web', 'word']"
45,"['children', 'desk', 'distance', 'guided', 'music', 'rules', 'selection', 'sentence', 'web', 'word']"
46,"['children', 'group', 'guided', 'language', 'mm', 'path', 'repeat', 'sentence', 'transparency', 'word']"
47,"['capital', 'cards', 'children', 'classroom', 'guided', 'labels', 'rates', 'self', 'sentence', 'transparency', 'word']"
48,"['builder', 'cards', 'children', 'frequency', 'repeat', 'word']"
49,"['builder', 'cards', 'children', 'frequency', 'repeat', 'word']"
50,"['builder', 'cards', 'children', 'frequency', 'repeat', 'word']"
51,"['children', 'group', 'mate', 'resource', 'sentence']"
52,"['children', 'group', 'mate', 'resource', 'sentence']"
53,"['children', 'group', 'mate', 'resource', 'sentence']"
54,"['children', 'group', 'mate', 'resource', 'sentence']"
55,"['children', 'expert', 'guided', 'information', 'personal', 'riding']"
56,"['children', 'direct', 'information', 'personal', 'word']"
56,"['children', 'direct', 'information', 'personal', 'word']"
57,"['children', 'frequency', 'group', 'mark', 'repeat', 'word']"
57,"['children', 'frequency', 'group', 'mark', 'repeat', 'word']"
58,[]
58,[]
59,"['@', 'answering', 'children', 'information', 'knowledge', 'learning', 'mark', 'mate', 'memories', 'mm', 'repeat', 'selection', 'sentence', 'social', 'stories', 'transparency', 'word']"
60,"['@', 'answering', 'children', 'information', 'knowledge', 'learning', 'mark', 'mate', 'memories', 'mm', 'repeat', 'selection', 'sentence', 'social', 'stories', 'transparency', 'word']"
62,"['children', 'frame', 'repeat', 'team', 'word']"
63,"['cards', 'children', 'selection', 'speech', 'state', 'transparency', 'word']"
64,"['cards', 'children', 'selection', 'speech', 'state', 'transparency', 'word']"
64,"['cards', 'children', 'selection', 'speech', 'state', 'transparency', 'word']"
65,"['cards', 'children', 'selection', 'speech', 'state', 'transparency', 'word']"
65,"['cards', 'children', 'selection', 'speech', 'state', 'transparency', 'word']"
66,"['children', 'distance', 'group', 'sheet', 'word']"
67,"['children', 'distance', 'group', 'sheet', 'word']"
68,"['children', 'group', 'guided', 'language', 'sentence']"
69,"['cards', 'children', 'classroom', 'cut', 'health', 'resource', 'school', 'sheet', 'word']"
70,"['cards', 'children', 'classroom', 'cut', 'health', 'resource', 'school', 'sheet', 'word']"
71,"['builder', 'cards', 'children', 'frame', 'patterns', 'repeat', 'sentence', 'transparency', 'word']"
72,"['builder', 'cards', 'children', 'frame', 'patterns', 'repeat', 'sentence', 'transparency', 'word']"
73,"['children', 'coding', 'frequency', 'spacing', 'torso', 'white', 'word']"
74,"['bank', 'children', 'frequency', 'group', 'guided', 'repeat', 'resource', 'sentence', 'word']"
74,"['bank', 'children', 'frequency', 'group', 'guided', 'repeat', 'resource', 'sentence', 'word']"
75,"['bank', 'children', 'frequency', 'group', 'guided', 'repeat', 'resource', 'sentence', 'word']"
75,"['bank', 'children', 'frequency', 'group', 'guided', 'repeat', 'resource', 'sentence', 'word']"
76,"['bank', 'children', 'frequency', 'group', 'guided', 'repeat', 'resource', 'sentence', 'word']"
76,"['bank', 'children', 'frequency', 'group', 'guided', 'repeat', 'resource', 'sentence', 'word']"
77,"['bank', 'children', 'frequency', 'group', 'guided', 'repeat', 'resource', 'sentence', 'word']"
77,"['bank', 'children', 'frequency', 'group', 'guided', 'repeat', 'resource', 'sentence', 'word']"
78,"['bank', 'children', 'frequency', 'group', 'guided', 'repeat', 'resource', 'sentence', 'word']"
78,"['bank', 'children', 'frequency', 'group', 'guided', 'repeat', 'resource', 'sentence', 'word']"
79,"['cards', 'children', 'group', 'guided', 'head', 'mark', 'random', 'repeat', 'sentence', 'speech', 'word']"
79,"['cards', 'children', 'group', 'guided', 'head', 'mark', 'random', 'repeat', 'sentence', 'speech', 'word']"
80,"['cards', 'children', 'group', 'guided', 'head', 'mark', 'random', 'repeat', 'sentence', 'speech', 'word']"
80,"['cards', 'children', 'group', 'guided', 'head', 'mark', 'random', 'repeat', 'sentence', 'speech', 'word']"
81,"['children', 'guided', 'knowledge', 'logging', 'rates', 'transparency']"
82,"['children', 'guided', 'knowledge', 'logging', 'rates', 'transparency']"
83,"['children', 'guided', 'knowledge', 'logging', 'rates', 'transparency']"
84,"['children', 'guided', 'knowledge', 'logging', 'rates', 'transparency']"
85,"['bus', 'children', 'paired', 'personal', 'repeat', 'selection']"
86,"['bus', 'children', 'paired', 'personal', 'repeat', 'selection']"
87,"['cards', 'children', 'connections', 'phone', 'word']"
88,"['cards', 'children', 'connections', 'phone', 'word']"
89,"['cards', 'children', 'connections', 'phone', 'word']"
89,"['cards', 'children', 'connections', 'phone', 'word']"
90,"['children', 'game', 'group', 'guided', 'notch', 'selection', 'stock', 'word']"
91,"['children', 'game', 'group', 'guided', 'notch', 'selection', 'stock', 'word']"
92,"['capital', 'children', 'group', 'guided', 'language', 'missing', 'sentence', 'word']"
93,"['activity', 'animal', 'children', 'mate', 'resource', 'word']"
94,"['activity', 'animal', 'children', 'mate', 'resource', 'word']"
95,"['bus', 'children', 'guided', 'network', 'repeat', 'sentence', 'strip', 'transparency', 'word']"
96,"['children', 'frequency', 'mate', 'random', 'segment', 'sheet', 'word']"
97,"['children', 'frequency', 'mate', 'random', 'segment', 'sheet', 'word']"
98,"['banks', 'children', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team', 'word']"
98,"['banks', 'children', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team', 'word']"
99,"['banks', 'children', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team', 'word']"
99,"['banks', 'children', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team', 'word']"
100,"['banks', 'children', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team', 'word']"
100,"['banks', 'children', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team', 'word']"
101,"['children', 'feedback', 'group', 'guided', 'speech', 'trees', 'word']"
102,"['children', 'feedback', 'group', 'guided', 'speech', 'trees', 'word']"
103,"['children', 'expert', 'group', 'guided', 'knowledge', 'mark', 'scene', 'sentence']"
104,"['children', 'notch', 'rod', 'selection', 'word']"
105,"['children', 'notch', 'rod', 'selection', 'word']"
106,"['capital', 'children', 'classroom', 'group', 'guided', 'language', 'mm', 'sentence', 'word']"
107,"['banks', 'capital', 'cards', 'chest', 'children', 'classroom', 'shared', 'state', 'water', 'word']"
108,"['banks', 'capital', 'cards', 'chest', 'children', 'classroom', 'shared', 'state', 'water', 'word']"
109,"['children', 'direct', 'group', 'mate', 'patterns', 'resource', 'team', 'word']"
110,"['children', 'direct', 'group', 'mate', 'patterns', 'resource', 'team', 'word']"
111,"['children', 'direct', 'group', 'mate', 'patterns', 'resource', 'team', 'word']"
112,"['children', 'direct', 'group', 'mate', 'patterns', 'resource', 'team', 'word']"
113,"['children', 'frame', 'frequency', 'house', 'job', 'sentence', 'state', 'word']"
114,"['cards', 'children', 'frequency', 'random', 'recognition', 'word']"
114,"['cards', 'children', 'frequency', 'random', 'recognition', 'word']"
115,"['cards', 'children', 'frequency', 'random', 'recognition', 'word']"
115,"['cards', 'children', 'frequency', 'random', 'recognition', 'word']"
116,"['children', 'feedback', 'frequency', 'group', 'monitoring', 'selection', 'sentence', 'theater', 'trees']"
117,"['children', 'feedback', 'frequency', 'group', 'monitoring', 'selection', 'sentence', 'theater', 'trees']"
118,"['children', 'feedback', 'group', 'guided', 'information', 'library', 'personal', 'selection']"
119,"['activity', 'children', 'distance', 'group', 'nose', 'repeat', 'web', 'word']"
120,"['children', 'feedback', 'guided', 'language', 'ride', 'sentence', 'word']"
121,"['cards', 'children', 'classroom', 'index', 'mate', 'resource', 'selection', 'word']"
122,"['children', 'frequency', 'personal']"
123,"['children', 'frame', 'personal', 'resource', 'vocal']"
124,"['children', 'frequency', 'personal', 'voice', 'word']"
125,"['children', 'holding', 'language', 'resource', 'shop']"
127,"['direct', 'group', 'leg', 'management', 'recording', 'resource', 'stock']"
128,"['frequency', 'resource', 'word']"
129,"['frequency', 'resource', 'word']"
129,"['frequency', 'resource', 'word']"
130,"['frequency', 'resource', 'word']"
131,"['builder', 'capital', 'children', 'frequency', 'repeat', 'word']"
132,"['children', 'cut', 'mate', 'mm', 'repeat', 'word']"
133,"['children', 'cut', 'mate', 'mm', 'repeat', 'word']"
135,"['academic', 'cards', 'children', 'group', 'professional', 'scaffolding', 'word']"
136,"['academic', 'cards', 'children', 'group', 'professional', 'scaffolding', 'word']"
138,"['academic', 'cards', 'children', 'group', 'professional', 'scaffolding', 'word']"
139,"['children', 'frequency', 'group', 'mm', 'repeat', 'sentence', 'word']"
140,"['@', 'children', 'frame', 'mm', 'personal', 'repeat', 'science', 'sentence', 'stories', 'word']"
141,"['@', 'children', 'frame', 'mm', 'personal', 'repeat', 'science', 'sentence', 'stories', 'word']"
142,"['@', 'children', 'frame', 'mm', 'personal', 'repeat', 'science', 'sentence', 'stories', 'word']"
143,"['@', 'children', 'frame', 'mm', 'personal', 'repeat', 'science', 'sentence', 'stories', 'word']"
144,"['auditors', 'children', 'feedback', 'house', 'professional', 'sentence', 'speech']"
145,"['auditors', 'children', 'feedback', 'house', 'professional', 'sentence', 'speech']"
145,"['auditors', 'children', 'feedback', 'house', 'professional', 'sentence', 'speech']"
146,"['children', 'knowledge', 'prediction', 'stories']"
147,"['children', 'classroom', 'cut', 'desk', 'guided', 'selection', 'sentence', 'shared', 'voice', 'word']"
148,"['children', 'classroom', 'cut', 'desk', 'guided', 'selection', 'sentence', 'shared', 'voice', 'word']"
149,"['capital', 'cards', 'children', 'errors', 'guided', 'language', 'mm', 'repeat', 'sentence', 'transparency', 'voice', 'word']"
150,"['children', 'frame', 'guided', 'information', 'mate', 'motion', 'sentence', 'spacing', 'state', 'team']"
151,"['builder', 'cards', 'children', 'finger', 'reinforcement', 'repeat', 'word']"
152,"['builder', 'cards', 'children', 'finger', 'reinforcement', 'repeat', 'word']"
153,"['builder', 'cards', 'children', 'finger', 'reinforcement', 'repeat', 'word']"
154,"['children', 'group', 'resource']"
155,"['children', 'group', 'resource']"
156,"['children', 'group', 'resource']"
157,"['children', 'group', 'resource']"
158,"['children', 'guided', 'knowledge']"
159,"['children', 'direct', 'information', 'personal', 'word']"
160,"['children', 'frequency', 'group', 'mark', 'motion', 'motor', 'repeat', 'word']"
160,"['children', 'frequency', 'group', 'mark', 'motion', 'motor', 'repeat', 'word']"
161,"['children', 'resource', 'sentence', 'word']"
161,"['children', 'resource', 'sentence', 'word']"
162,"['children', 'frame', 'health', 'information', 'knowledge', 'packing', 'repeat', 'rough', 'safety', 'self', 'sentence', 'stories', 'voice', 'word']"
166,"['cards', 'children', 'road', 'speech']"
167,"['cards', 'children', 'road', 'speech']"
167,"['cards', 'children', 'road', 'speech']"
168,"['cards', 'children', 'road', 'speech']"
168,"['cards', 'children', 'road', 'speech']"
169,"['children', 'fraud', 'mm', 'nose', 'school', 'score', 'word']"
170,"['children', 'fraud', 'mm', 'nose', 'school', 'score', 'word']"
171,"['activity', 'children', 'errors', 'exchange', 'group', 'guided', 'language', 'mark', 'mate', 'rules', 'sentence', 'word']"
173,"['animal', 'bond', 'capital', 'children', 'errors', 'frame', 'house', 'mark', 'sentence', 'state', 'word']"
174,"['animal', 'bond', 'capital', 'children', 'errors', 'frame', 'house', 'mark', 'sentence', 'state', 'word']"
176,"['ad', 'builder', 'cards', 'children', 'double', 'group', 'mm', 'patterns', 'repeat', 'sentence', 'transparency', 'word']"
177,"['children', 'frequency', 'repeat', 'spacing', 'state', 'word']"
178,"['cards', 'children', 'frequency', 'group', 'guided', 'matching', 'repeat', 'resource', 'word']"
178,"['cards', 'children', 'frequency', 'group', 'guided', 'matching', 'repeat', 'resource', 'word']"
179,"['cards', 'children', 'frequency', 'group', 'guided', 'matching', 'repeat', 'resource', 'word']"
179,"['cards', 'children', 'frequency', 'group', 'guided', 'matching', 'repeat', 'resource', 'word']"
180,"['cards', 'children', 'frequency', 'group', 'guided', 'matching', 'repeat', 'resource', 'word']"
180,"['cards', 'children', 'frequency', 'group', 'guided', 'matching', 'repeat', 'resource', 'word']"
181,"['cards', 'children', 'frequency', 'group', 'guided', 'matching', 'repeat', 'resource', 'word']"
181,"['cards', 'children', 'frequency', 'group', 'guided', 'matching', 'repeat', 'resource', 'word']"
182,"['cards', 'children', 'frequency', 'group', 'guided', 'matching', 'repeat', 'resource', 'word']"
182,"['cards', 'children', 'frequency', 'group', 'guided', 'matching', 'repeat', 'resource', 'word']"
183,"['children', 'classroom', 'delay', 'group', 'guided', 'recognition', 'selection', 'word']"
183,"['children', 'classroom', 'delay', 'group', 'guided', 'recognition', 'selection', 'word']"
184,"['children', 'edge', 'errors', 'group', 'guided', 'information', 'knowledge']"
185,"['children', 'edge', 'errors', 'group', 'guided', 'information', 'knowledge']"
186,"['children', 'edge', 'errors', 'group', 'guided', 'information', 'knowledge']"
187,"['children', 'edge', 'errors', 'group', 'guided', 'information', 'knowledge']"
188,"['children', 'paired', 'personal', 'repeat', 'selection', 'social', 'water']"
189,"['children', 'paired', 'personal', 'repeat', 'selection', 'social', 'water']"
190,"['cards', 'children', 'connections', 'strip', 'word']"
191,"['cards', 'children', 'connections', 'strip', 'word']"
192,"['cards', 'children', 'connections', 'strip', 'word']"
192,"['cards', 'children', 'connections', 'strip', 'word']"
193,"['children', 'eating', 'guided', 'nose', 'selection', 'word']"
194,"['children', 'eating', 'guided', 'nose', 'selection', 'word']"
195,"['children', 'exchange', 'guided', 'knowledge', 'language', 'sentence', 'strip', 'word']"
196,"['children', 'classroom', 'group', 'modeling', 'sentence']"
197,"['children', 'classroom', 'group', 'modeling', 'sentence']"
198,"['children', 'guided', 'patterns', 'sentence', 'stock', 'transparency', 'word']"
199,"['cards', 'children', 'mate', 'repeat', 'sheet', 'timing', 'word']"
200,"['cards', 'children', 'mate', 'repeat', 'sheet', 'timing', 'word']"
201,"['banks', 'cards', 'children', 'cut', 'direct', 'frequency', 'guided', 'missing', 'resource', 'sentence', 'strip', 'tracking', 'word']"
201,"['banks', 'cards', 'children', 'cut', 'direct', 'frequency', 'guided', 'missing', 'resource', 'sentence', 'strip', 'tracking', 'word']"
202,"['banks', 'cards', 'children', 'cut', 'direct', 'frequency', 'guided', 'missing', 'resource', 'sentence', 'strip', 'tracking', 'word']"
202,"['banks', 'cards', 'children', 'cut', 'direct', 'frequency', 'guided', 'missing', 'resource', 'sentence', 'strip', 'tracking', 'word']"
203,"['children', 'feedback', 'guided', 'resource', 'rod', 'sentence', 'speech', 'students', 'word']"
204,"['children', 'feedback', 'guided', 'resource', 'rod', 'sentence', 'speech', 'students', 'word']"
205,"['children', 'group', 'guided', 'hearing', 'house', 'information', 'knowledge', 'library', 'mm', 'personal', 'school']"
206,"['desk', 'mm', 'selection', 'word']"
207,"['desk', 'mm', 'selection', 'word']"
208,"['children', 'corrections', 'group', 'guided', 'knowledge', 'language', 'rules', 'sentence', 'word']"
209,"['activity', 'children', 'group', 'ride', 'sentence', 'water']"
210,"['activity', 'children', 'group', 'ride', 'sentence', 'water']"
211,"['children', 'group', 'guided', 'left', 'patterns', 'repeat', 'resource', 'word']"
212,"['children', 'group', 'guided', 'left', 'patterns', 'repeat', 'resource', 'word']"
213,"['children', 'group', 'guided', 'left', 'patterns', 'repeat', 'resource', 'word']"
214,"['children', 'group', 'guided', 'left', 'patterns', 'repeat', 'resource', 'word']"
215,"['children', 'frame', 'frequency', 'mm', 'repeat', 'sentence', 'word']"
216,"['children', 'frame', 'frequency', 'mm', 'repeat', 'sentence', 'word']"
217,"['banks', 'cards', 'edge', 'frame', 'frequency', 'mate', 'random', 'recognition', 'sentence', 'tree', 'word']"
217,"['banks', 'cards', 'edge', 'frame', 'frequency', 'mate', 'random', 'recognition', 'sentence', 'tree', 'word']"
218,"['banks', 'cards', 'edge', 'frame', 'frequency', 'mate', 'random', 'recognition', 'sentence', 'tree', 'word']"
218,"['banks', 'cards', 'edge', 'frame', 'frequency', 'mate', 'random', 'recognition', 'sentence', 'tree', 'word']"
219,"['banks', 'cards', 'edge', 'frame', 'frequency', 'mate', 'random', 'recognition', 'sentence', 'tree', 'word']"
219,"['banks', 'cards', 'edge', 'frame', 'frequency', 'mate', 'random', 'recognition', 'sentence', 'tree', 'word']"
220,"['ads', 'children', 'feedback', 'group', 'mm', 'selection', 'sentence', 'speech', 'state', 'theater', 'word']"
220,"['ads', 'children', 'feedback', 'group', 'mm', 'selection', 'sentence', 'speech', 'state', 'theater', 'word']"
221,"['ads', 'children', 'feedback', 'group', 'mm', 'selection', 'sentence', 'speech', 'state', 'theater', 'word']"
221,"['ads', 'children', 'feedback', 'group', 'mm', 'selection', 'sentence', 'speech', 'state', 'theater', 'word']"
222,"['children', 'cut', 'guided', 'information', 'knowledge', 'mate', 'selection', 'stories', 'voice']"
223,"['children', 'cut', 'guided', 'information', 'knowledge', 'mate', 'selection', 'stories', 'voice']"
224,"['children', 'group', 'repeat', 'word']"
225,"['capital', 'children', 'group', 'guided', 'language', 'sentence', 'word']"
226,"['capital', 'children', 'color', 'group', 'mark', 'mate', 'mistakes', 'ride', 'selection', 'sentence', 'word']"
227,"['@', 'children', 'frequency', 'personal', 'ride', 'train']"
228,"['children', 'expert', 'personal', 'prediction', 'resource']"
229,"['children', 'feedback', 'frequency', 'moving', 'personal']"
230,"['children', 'language', 'resource', 'school']"
231,"['direct', 'management', 'resource']"
232,"['direct', 'management', 'resource']"
233,"['mate', 'resource', 'word']"
234,"['mate', 'resource', 'word']"
234,"['mate', 'resource', 'word']"
235,"['mate', 'resource', 'word']"
236,"['capital', 'children', 'frequency', 'job', 'random', 'repeat', 'word']"
