Activity ID,Keywords
1,"['builder', 'cards', 'curve', 'frequency', 'guided', 'inventory', 'mm', 'random', 'resource', 'ride', 'sheet', 'state', 'straight', 'team']"
2,"['cards', 'curve', 'frequency', 'guided', 'inventory', 'mate', 'music', 'random', 'resource', 'sheet']"
3,"['builder', 'cards', 'curve', 'frequency', 'guided', 'inventory', 'motor', 'random', 'resource', 'sheet']"
4,"['cards', 'color', 'cut', 'frequency', 'guided', 'inventory', 'mate', 'notch', 'random', 'resource', 'sheet']"
5,"['builder', 'cards', 'curve', 'frequency', 'guided', 'inventory', 'random', 'resource', 'school', 'sheet', 'straight']"
6,"['arms', 'builder', 'cards', 'curve', 'cut', 'frequency', 'guided', 'inventory', 'random', 'resource', 'sheet', 'strip']"
7,"['builder', 'cards', 'curve', 'frequency', 'guided', 'house', 'inventory', 'music', 'random', 'resource', 'sheet']"
8,"['arc', 'builder', 'cards', 'frame', 'inventory', 'power', 'repeat', 'resource', 'sheet', 'stories', 'straight']"
9,"['builder', 'cards', 'feedback', 'frequency', 'guided', 'random', 'repeat', 'resource', 'sprung', 'stories', 'straight']"
10,"['builder', 'cards', 'feedback', 'frequency', 'guided', 'inventory', 'random', 'repeat', 'resource', 'stories']"
11,"['builder', 'cards', 'curve', 'feedback', 'frequency', 'game', 'guided', 'inventory', 'prostate', 'random', 'repeat', 'resource', 'stories', 'straight']"
12,"['builder', 'cards', 'curve', 'feedback', 'frequency', 'gray', 'guided', 'mate', 'push', 'random', 'repeat', 'resource', 'stories', 'straight']"
13,"['builder', 'cards', 'desk', 'feedback', 'frequency', 'guided', 'random', 'repeat', 'resource', 'stories', 'straight']"
14,"['builder', 'cards', 'feedback', 'frequency', 'guided', 'inventory', 'random', 'repeat', 'resource', 'stories']"
15,"['builder', 'cards', 'curve', 'feedback', 'frequency', 'guided', 'heart', 'house', 'inventory', 'mate', 'random', 'repeat', 'resource', 'rough', 'stories', 'straight']"
16,"['builder', 'capital', 'cards', 'feedback', 'finger', 'frequency', 'guided', 'house', 'inventory', 'random', 'repeat', 'resource', 'stories']"
17,"['builder', 'cards', 'curve', 'edge', 'feedback', 'frequency', 'random', 'repeat', 'resource', 'stories', 'straight']"
18,"['builder', 'cards', 'curve', 'feedback', 'frequency', 'guided', 'inventory', 'random', 'repeat', 'resource', 'straight', 'tract']"
19,"['builder', 'cards', 'curve', 'feedback', 'frequency', 'guided', 'inventory', 'mate', 'powder', 'random', 'repeat', 'resource', 'stories', 'straight', 'zebra']"
20,"['builder', 'cards', 'curve', 'feedback', 'frequency', 'guided', 'inventory', 'random', 'repeat', 'resource', 'stories', 'straight']"
21,"['management', 'resource']"
21,"['management', 'resource']"
22,"['management', 'resource']"
23,"['labels', 'resource']"
24,"['labels', 'resource']"
24,"['labels', 'resource']"
26,"['media', 'random', 'repeat', 'ride']"
28,"['builder', 'cards', 'error', 'graph', 'learning', 'repeat']"
29,"['builder', 'cards', 'error', 'graph', 'learning', 'repeat']"
30,"['cards', 'professional']"
31,"['cards', 'professional']"
32,"['cards', 'professional']"
33,"['cards', 'professional']"
34,"['cards', 'professional']"
35,"['arc', 'frequency', 'house', 'job', 'repeat']"
36,"['@', 'frame', 'frequency', 'house', 'knowledge', 'nest', 'notch', 'repeat', 'ride']"
38,"['@', 'frame', 'frequency', 'house', 'knowledge', 'nest', 'notch', 'repeat', 'ride']"
39,"['@', 'frame', 'frequency', 'house', 'knowledge', 'nest', 'notch', 'repeat', 'ride']"
40,['trees']
41,"['banks', 'cards', 'feedback', 'frame', 'modeling', 'professional', 'speech']"
42,"['banks', 'cards', 'feedback', 'frame', 'modeling', 'professional', 'speech']"
42,"['banks', 'cards', 'feedback', 'frame', 'modeling', 'professional', 'speech']"
43,"['knowledge', 'stories', 'tree']"
44,"['desk', 'distance', 'guided', 'music', 'rules', 'selection', 'web']"
45,"['desk', 'distance', 'guided', 'music', 'rules', 'selection', 'web']"
46,"['guided', 'language', 'mm', 'path', 'repeat', 'transparency']"
47,"['capital', 'cards', 'classroom', 'guided', 'labels', 'rates', 'self', 'transparency']"
48,"['builder', 'cards', 'frequency', 'repeat']"
49,"['builder', 'cards', 'frequency', 'repeat']"
50,"['builder', 'cards', 'frequency', 'repeat']"
51,"['mate', 'resource']"
52,"['mate', 'resource']"
53,"['mate', 'resource']"
54,"['mate', 'resource']"
55,"['expert', 'guided', 'information', 'personal', 'riding']"
56,"['direct', 'information', 'personal']"
56,"['direct', 'information', 'personal']"
57,"['frequency', 'mark', 'repeat']"
57,"['frequency', 'mark', 'repeat']"
58,[]
58,[]
59,"['@', 'answering', 'information', 'knowledge', 'learning', 'mark', 'mate', 'memories', 'mm', 'repeat', 'selection', 'social', 'stories', 'transparency']"
60,"['@', 'answering', 'information', 'knowledge', 'learning', 'mark', 'mate', 'memories', 'mm', 'repeat', 'selection', 'social', 'stories', 'transparency']"
62,"['frame', 'repeat', 'team']"
63,"['cards', 'selection', 'speech', 'state', 'transparency']"
64,"['cards', 'selection', 'speech', 'state', 'transparency']"
64,"['cards', 'selection', 'speech', 'state', 'transparency']"
65,"['cards', 'selection', 'speech', 'state', 'transparency']"
65,"['cards', 'selection', 'speech', 'state', 'transparency']"
66,"['distance', 'sheet']"
67,"['distance', 'sheet']"
68,"['guided', 'language']"
69,"['cards', 'classroom', 'cut', 'health', 'resource', 'school', 'sheet']"
70,"['cards', 'classroom', 'cut', 'health', 'resource', 'school', 'sheet']"
71,"['builder', 'cards', 'frame', 'patterns', 'repeat', 'transparency']"
72,"['builder', 'cards', 'frame', 'patterns', 'repeat', 'transparency']"
73,"['coding', 'frequency', 'spacing', 'torso', 'white']"
74,"['bank', 'frequency', 'guided', 'repeat', 'resource']"
74,"['bank', 'frequency', 'guided', 'repeat', 'resource']"
75,"['bank', 'frequency', 'guided', 'repeat', 'resource']"
75,"['bank', 'frequency', 'guided', 'repeat', 'resource']"
76,"['bank', 'frequency', 'guided', 'repeat', 'resource']"
76,"['bank', 'frequency', 'guided', 'repeat', 'resource']"
77,"['bank', 'frequency', 'guided', 'repeat', 'resource']"
77,"['bank', 'frequency', 'guided', 'repeat', 'resource']"
78,"['bank', 'frequency', 'guided', 'repeat', 'resource']"
78,"['bank', 'frequency', 'guided', 'repeat', 'resource']"
79,"['cards', 'guided', 'head', 'mark', 'random', 'repeat', 'speech']"
79,"['cards', 'guided', 'head', 'mark', 'random', 'repeat', 'speech']"
80,"['cards', 'guided', 'head', 'mark', 'random', 'repeat', 'speech']"
80,"['cards', 'guided', 'head', 'mark', 'random', 'repeat', 'speech']"
81,"['guided', 'knowledge', 'logging', 'rates', 'transparency']"
82,"['guided', 'knowledge', 'logging', 'rates', 'transparency']"
83,"['guided', 'knowledge', 'logging', 'rates', 'transparency']"
84,"['guided', 'knowledge', 'logging', 'rates', 'transparency']"
85,"['bus', 'paired', 'personal', 'repeat', 'selection']"
86,"['bus', 'paired', 'personal', 'repeat', 'selection']"
87,"['cards', 'connections', 'phone']"
88,"['cards', 'connections', 'phone']"
89,"['cards', 'connections', 'phone']"
89,"['cards', 'connections', 'phone']"
90,"['game', 'guided', 'notch', 'selection', 'stock']"
91,"['game', 'guided', 'notch', 'selection', 'stock']"
92,"['capital', 'guided', 'language', 'missing']"
93,"['activity', 'animal', 'mate', 'resource']"
94,"['activity', 'animal', 'mate', 'resource']"
95,"['bus', 'guided', 'network', 'repeat', 'strip', 'transparency']"
96,"['frequency', 'mate', 'random', 'segment', 'sheet']"
97,"['frequency', 'mate', 'random', 'segment', 'sheet']"
98,"['banks', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team']"
98,"['banks', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team']"
99,"['banks', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team']"
99,"['banks', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team']"
100,"['banks', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team']"
100,"['banks', 'cut', 'direct', 'frequency', 'guided', 'missing', 'path', 'resource', 'strip', 'team']"
101,"['feedback', 'guided', 'speech', 'trees']"
102,"['feedback', 'guided', 'speech', 'trees']"
103,"['expert', 'guided', 'knowledge', 'mark', 'scene']"
104,"['notch', 'rod', 'selection']"
105,"['notch', 'rod', 'selection']"
106,"['capital', 'classroom', 'guided', 'language', 'mm']"
107,"['banks', 'capital', 'cards', 'chest', 'classroom', 'shared', 'state', 'water']"
108,"['banks', 'capital', 'cards', 'chest', 'classroom', 'shared', 'state', 'water']"
109,"['direct', 'mate', 'patterns', 'resource', 'team']"
110,"['direct', 'mate', 'patterns', 'resource', 'team']"
111,"['direct', 'mate', 'patterns', 'resource', 'team']"
112,"['direct', 'mate', 'patterns', 'resource', 'team']"
113,"['frame', 'frequency', 'house', 'job', 'state']"
114,"['cards', 'frequency', 'random', 'recognition']"
114,"['cards', 'frequency', 'random', 'recognition']"
115,"['cards', 'frequency', 'random', 'recognition']"
115,"['cards', 'frequency', 'random', 'recognition']"
116,"['feedback', 'frequency', 'monitoring', 'selection', 'theater', 'trees']"
117,"['feedback', 'frequency', 'monitoring', 'selection', 'theater', 'trees']"
118,"['feedback', 'guided', 'information', 'library', 'personal', 'selection']"
119,"['activity', 'distance', 'nose', 'repeat', 'web']"
120,"['feedback', 'guided', 'language', 'ride']"
121,"['cards', 'classroom', 'index', 'mate', 'resource', 'selection']"
122,"['frequency', 'personal']"
123,"['frame', 'personal', 'resource', 'vocal']"
124,"['frequency', 'personal', 'voice']"
125,"['holding', 'language', 'resource', 'shop']"
127,"['direct', 'leg', 'management', 'recording', 'resource', 'stock']"
128,"['frequency', 'resource']"
129,"['frequency', 'resource']"
129,"['frequency', 'resource']"
130,"['frequency', 'resource']"
131,"['builder', 'capital', 'frequency', 'repeat']"
132,"['cut', 'mate', 'mm', 'repeat']"
133,"['cut', 'mate', 'mm', 'repeat']"
135,"['academic', 'cards', 'professional', 'scaffolding']"
136,"['academic', 'cards', 'professional', 'scaffolding']"
138,"['academic', 'cards', 'professional', 'scaffolding']"
139,"['frequency', 'mm', 'repeat']"
140,"['@', 'frame', 'mm', 'personal', 'repeat', 'science', 'stories']"
141,"['@', 'frame', 'mm', 'personal', 'repeat', 'science', 'stories']"
142,"['@', 'frame', 'mm', 'personal', 'repeat', 'science', 'stories']"
143,"['@', 'frame', 'mm', 'personal', 'repeat', 'science', 'stories']"
144,"['auditors', 'feedback', 'house', 'professional', 'speech']"
145,"['auditors', 'feedback', 'house', 'professional', 'speech']"
145,"['auditors', 'feedback', 'house', 'professional', 'speech']"
146,"['knowledge', 'prediction', 'stories']"
147,"['classroom', 'cut', 'desk', 'guided', 'selection', 'shared', 'voice']"
148,"['classroom', 'cut', 'desk', 'guided', 'selection', 'shared', 'voice']"
149,"['capital', 'cards', 'errors', 'guided', 'language', 'mm', 'repeat', 'transparency', 'voice']"
150,"['frame', 'guided', 'information', 'mate', 'motion', 'spacing', 'state', 'team']"
151,"['builder', 'cards', 'finger', 'reinforcement', 'repeat']"
152,"['builder', 'cards', 'finger', 'reinforcement', 'repeat']"
153,"['builder', 'cards', 'finger', 'reinforcement', 'repeat']"
154,['resource']
155,['resource']
156,['resource']
157,['resource']
158,"['guided', 'knowledge']"
159,"['direct', 'information', 'personal']"
160,"['frequency', 'mark', 'motion', 'motor', 'repeat']"
160,"['frequency', 'mark', 'motion', 'motor', 'repeat']"
161,['resource']
161,['resource']
162,"['frame', 'health', 'information', 'knowledge', 'packing', 'repeat', 'rough', 'safety', 'self', 'stories', 'voice']"
166,"['cards', 'road', 'speech']"
167,"['cards', 'road', 'speech']"
167,"['cards', 'road', 'speech']"
168,"['cards', 'road', 'speech']"
168,"['cards', 'road', 'speech']"
169,"['fraud', 'mm', 'nose', 'school', 'score']"
170,"['fraud', 'mm', 'nose', 'school', 'score']"
171,"['activity', 'errors', 'exchange', 'guided', 'language', 'mark', 'mate', 'rules']"
173,"['animal', 'bond', 'capital', 'errors', 'frame', 'house', 'mark', 'state']"
174,"['animal', 'bond', 'capital', 'errors', 'frame', 'house', 'mark', 'state']"
176,"['ad', 'builder', 'cards', 'double', 'mm', 'patterns', 'repeat', 'transparency']"
177,"['frequency', 'repeat', 'spacing', 'state']"
178,"['cards', 'frequency', 'guided', 'matching', 'repeat', 'resource']"
178,"['cards', 'frequency', 'guided', 'matching', 'repeat', 'resource']"
179,"['cards', 'frequency', 'guided', 'matching', 'repeat', 'resource']"
179,"['cards', 'frequency', 'guided', 'matching', 'repeat', 'resource']"
180,"['cards', 'frequency', 'guided', 'matching', 'repeat', 'resource']"
180,"['cards', 'frequency', 'guided', 'matching', 'repeat', 'resource']"
181,"['cards', 'frequency', 'guided', 'matching', 'repeat', 'resource']"
181,"['cards', 'frequency', 'guided', 'matching', 'repeat', 'resource']"
182,"['cards', 'frequency', 'guided', 'matching', 'repeat', 'resource']"
182,"['cards', 'frequency', 'guided', 'matching', 'repeat', 'resource']"
183,"['classroom', 'delay', 'guided', 'recognition', 'selection']"
183,"['classroom', 'delay', 'guided', 'recognition', 'selection']"
184,"['edge', 'errors', 'guided', 'information', 'knowledge']"
185,"['edge', 'errors', 'guided', 'information', 'knowledge']"
186,"['edge', 'errors', 'guided', 'information', 'knowledge']"
187,"['edge', 'errors', 'guided', 'information', 'knowledge']"
188,"['paired', 'personal', 'repeat', 'selection', 'social', 'water']"
189,"['paired', 'personal', 'repeat', 'selection', 'social', 'water']"
190,"['cards', 'connections', 'strip']"
191,"['cards', 'connections', 'strip']"
192,"['cards', 'connections', 'strip']"
192,"['cards', 'connections', 'strip']"
193,"['eating', 'guided', 'nose', 'selection']"
194,"['eating', 'guided', 'nose', 'selection']"
195,"['exchange', 'guided', 'knowledge', 'language', 'strip']"
196,"['classroom', 'modeling']"
197,"['classroom', 'modeling']"
198,"['guided', 'patterns', 'stock', 'transparency']"
199,"['cards', 'mate', 'repeat', 'sheet', 'timing']"
200,"['cards', 'mate', 'repeat', 'sheet', 'timing']"
201,"['banks', 'cards', 'cut', 'direct', 'frequency', 'guided', 'missing', 'resource', 'strip', 'tracking']"
201,"['banks', 'cards', 'cut', 'direct', 'frequency', 'guided', 'missing', 'resource', 'strip', 'tracking']"
202,"['banks', 'cards', 'cut', 'direct', 'frequency', 'guided', 'missing', 'resource', 'strip', 'tracking']"
202,"['banks', 'cards', 'cut', 'direct', 'frequency', 'guided', 'missing', 'resource', 'strip', 'tracking']"
203,"['feedback', 'guided', 'resource', 'rod', 'speech', 'students']"
204,"['feedback', 'guided', 'resource', 'rod', 'speech', 'students']"
205,"['guided', 'hearing', 'house', 'information', 'knowledge', 'library', 'mm', 'personal', 'school']"
